first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value,,,
Kelcie,Kingaby,Female,54,2000-03-24,22,Systems Administrator II,IT,Mass Customer,N,Yes,6,0 Summit Center,4019,QLD,Australia,4,1.09,1.3625,1.3625,1.158125,#REF!,893,0.520625,,,
Shaw,MacEvilly,Male,10,2000-05-06,22,Software Test Engineer III,Health,Affluent Customer,N,No,16,34020 Sheridan Park,2768,NSW,Australia,9,0.66,0.66,0.825,0.825,#REF!,904,0.5,,,
Aundrea,Outridge,Female,77,2001-01-24,22,Structural Engineer,Financial Services,Affluent Customer,N,Yes,10,1530 Columbus Lane,3186,VIC,Australia,12,1.1,1.375,1.71875,1.71875,#REF!,974,0.425,,,
Wheeler,Winward,Male,48,1999-08-30,23,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3 Golden Leaf Point,3216,VIC,Australia,8,0.65,0.65,0.65,0.5525,12,12,1.625,,,
Taylor,Steuhlmeyer,Male,62,1999-03-22,23,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,0.88,1.1,1.1,1.1,#REF!,52,1.39453125,,,
Cristen,Maroney,Female,22,1999-11-21,23,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,1.08,1.35,1.35,1.35,#REF!,65,1.3625,,,
Gunner,Petti,Male,62,1999-06-08,23,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,0.46,0.575,0.575,0.575,#REF!,68,1.3546875,,,
Kevina,Ferandez,Female,73,1999-09-21,23,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,0.82,0.82,1.025,1.025,#REF!,72,1.35,,,
Jehu,Prestedge,Male,91,1999-10-20,23,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.5,0.625,0.78125,0.78125,#REF!,96,1.3,,,
Tobiah,Heinsius,Male,66,2000-01-25,23,Chief Design Engineer,Health,High Net Worth,N,No,9,3630 Dawn Crossing,2446,NSW,Australia,8,0.65,0.65,0.65,0.65,#REF!,223,1.115625,,,
Alon,,Male,17,1999-06-23,23,Accountant IV,n/a,Affluent Customer,N,No,9,770 Crest Line Parkway,4218,QLD,Australia,3,0.78,0.78,0.78,0.78,#REF!,329,1,,,
Ebony,Conrad,Female,8,1999-10-24,23,Environmental Tech,Financial Services,Mass Customer,N,Yes,16,990 Hoffman Avenue,3029,VIC,Australia,7,0.48,0.6,0.6,0.51,#REF!,334,0.99875,,,
Clotilda,Southers,Female,62,1999-11-08,23,Computer Systems Analyst II,Financial Services,Mass Customer,N,Yes,15,42 Donald Hill,2323,NSW,Australia,4,0.42,0.525,0.525,0.44625,#REF!,361,0.9775,,,
Sigismund,Sedger,Male,9,1999-11-29,23,Accountant II,Manufacturing,Affluent Customer,N,No,7,8069 Sunbrook Way,2155,NSW,Australia,10,0.53,0.53,0.6625,0.6625,#REF!,473,0.884,,,
Jammal,Devenny,Male,57,1999-05-14,23,Marketing Manager,Retail,High Net Worth,N,No,12,18 Sage Plaza,3152,VIC,Australia,9,0.63,0.63,0.7875,0.7875,#REF!,507,0.85,,,
Maddalena,Angood,Female,79,1999-07-28,23,,Manufacturing,Affluent Customer,N,No,12,1 Bluejay Court,2320,NSW,Australia,4,0.58,0.58,0.58,0.58,#REF!,515,0.839375,,,
Cord,Dunsmore,Male,12,1999-04-21,23,Internal Auditor,Manufacturing,Mass Customer,N,Yes,13,596 Boyd Park,4301,QLD,Australia,3,0.81,1.0125,1.0125,0.860625,#REF!,552,0.816,,,
Alta,Pithcock,Female,64,1999-11-18,23,GIS Technical Architect,Financial Services,Mass Customer,N,No,2,57568 Northview Junction,2141,NSW,Australia,7,1.03,1.03,1.03,0.8755,#REF!,708,0.68,,,
Nalani,Hallad,Female,15,1999-11-30,23,Environmental Specialist,Health,Affluent Customer,N,Yes,9,1 Oriole Crossing,3184,VIC,Australia,9,0.97,1.2125,1.515625,1.515625,#REF!,719,0.675,,,
Latrena,Yetts,Female,11,1999-06-18,23,Civil Engineer,Manufacturing,High Net Worth,N,Yes,15,53877 Dakota Crossing,2871,NSW,Australia,3,0.51,0.6375,0.6375,0.6375,#REF!,893,0.520625,,,
Frieda,Tavinor,Female,43,1999-03-04,23,,n/a,Affluent Customer,N,No,10,7 Mallory Lane,3064,VIC,Australia,6,1.1,1.1,1.1,1.1,#REF!,972,0.43,,,
Marysa,Rouchy,Female,8,1999-02-15,24,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,0.92,0.92,1.15,1.15,#REF!,85,1.325,,,
Alano,Satchel,Male,2,1998-11-26,24,Recruiting Manager,n/a,Mass Customer,N,No,2,87107 Shelley Crossing,2429,NSW,Australia,7,0.56,0.56,0.56,0.476,#REF!,202,1.140625,,,
Sada,Dowyer,Female,47,1998-11-22,24,Human Resources Manager,n/a,High Net Worth,N,Yes,3,4 Meadow Ridge Place,2090,NSW,Australia,10,0.69,0.8625,1.078125,1.078125,#REF!,450,0.9,,,
Dallas,Lavalde,Female,18,1998-12-19,24,Product Engineer,n/a,Mass Customer,N,No,12,16898 Donald Plaza,2323,NSW,Australia,4,0.98,0.98,0.98,0.833,#REF!,530,0.82875,,,
Kirsteni,Gritskov,Female,66,1998-05-12,24,,n/a,Mass Customer,N,No,4,743 Stuart Terrace,2560,NSW,Australia,7,0.6,0.6,0.6,0.51,#REF!,575,0.796875,,,
Dorian,Emery,Female,94,1998-08-24,24,Professor,Manufacturing,Mass Customer,N,Yes,9,67 Beilfuss Plaza,2168,NSW,Australia,8,0.98,1.225,1.53125,1.3015625,#REF!,609,0.7625,,,
Errick,Burgin,Male,87,1998-08-19,24,Professor,Entertainment,Mass Customer,N,No,11,417 Killdeer Alley,2650,NSW,Australia,2,1,1,1.25,1.0625,#REF!,744,0.65625,,,
Geoff,Gwillym,Male,89,1999-02-22,24,Clinical Specialist,Health,Affluent Customer,N,No,8,1 Eliot Plaza,2323,NSW,Australia,4,0.69,0.69,0.8625,0.8625,#REF!,760,0.6375,,,
Alick,Baise,Male,62,1998-08-16,24,Pharmacist,Health,Mass Customer,N,Yes,1,096 Gateway Road,2747,NSW,Australia,8,1.08,1.35,1.35,1.1475,#REF!,851,0.5625,,,
Afton,Andrassy,Female,78,1998-10-14,24,Web Designer II,Retail,Mass Customer,N,No,7,220 Cody Alley,3075,VIC,Australia,8,0.58,0.58,0.58,0.493,#REF!,956,0.44625,,,
Ellwood,Budden,Male,82,1998-06-03,24,,Health,Mass Customer,N,Yes,11,79907 Randy Center,2192,NSW,Australia,10,0.84,1.05,1.3125,1.115625,#REF!,972,0.43,,,
Otis,Ottey,Male,26,1998-02-05,25,Quality Engineer,n/a,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,0.71,0.71,0.71,0.6035,22,23,1.5,,,
Frederik,Milan,Male,45,1997-11-13,25,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,0.47,0.47,0.47,0.3995,#REF!,114,1.275,,,
Alexander,Broadbent,Male,57,1997-05-28,25,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,0.6,0.6,0.75,0.6375,#REF!,120,1.2625,,,
Tabbie,Curner,Male,12,1997-03-13,25,Chief Design Engineer,Retail,Mass Customer,N,No,6,89 Parkside Street,3021,VIC,Australia,6,0.95,0.95,0.95,0.8075,#REF!,212,1.136875,,,
Rosalinde,Cubuzzi,Female,50,1997-09-04,25,Business Systems Development Analyst,n/a,Mass Customer,N,No,5,6 Lotheville Trail,2444,NSW,Australia,7,0.5,0.5,0.5,0.425,#REF!,215,1.12890625,,,
Agace,Hedge,Female,25,1997-07-23,25,Media Manager II,n/a,Mass Customer,N,Yes,13,92 Petterle Place,3429,VIC,Australia,8,0.67,0.8375,0.8375,0.711875,#REF!,233,1.1,,,
Lea,Ilyinski,Female,75,1997-09-25,25,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,0.4,0.4,0.5,0.5,#REF!,252,1.073125,,,
Nil,Shirer,Male,64,1997-09-27,25,Librarian,Entertainment,Mass Customer,N,Yes,7,4793 Mcbride Pass,3013,VIC,Australia,8,0.45,0.5625,0.5625,0.478125,#REF!,329,1,,,
Allsun,Biner,Female,67,1997-12-26,25,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,10,9 Walton Way,2641,NSW,Australia,2,1.04,1.3,1.3,1.105,#REF!,361,0.9775,,,
Salomon,Perkins,Male,76,1998-01-12,25,Engineer IV,Financial Services,Affluent Customer,N,Yes,1,45 Banding Hill,2009,NSW,Australia,10,0.63,0.7875,0.984375,0.984375,#REF!,419,0.91640625,,,
Frederich,Glantz,Male,37,1997-08-27,25,Nuclear Power Engineer,Manufacturing,High Net Worth,N,Yes,10,9 Glacier Hill Circle,2762,NSW,Australia,8,0.6,0.75,0.75,0.75,#REF!,436,0.903125,,,
Rodney,Trethewey,Male,16,1997-03-17,25,Software Consultant,Financial Services,Affluent Customer,N,No,15,737 Service Lane,3030,VIC,Australia,8,0.61,0.61,0.61,0.61,#REF!,441,0.901,,,
Anthony,Lindstrom,Male,86,1997-11-01,25,Geologist IV,Financial Services,Affluent Customer,N,Yes,10,427 Oak Avenue,2205,NSW,Australia,10,0.77,0.9625,1.203125,1.203125,#REF!,495,0.86328125,,,
Claude,Bowstead,Female,37,1997-11-29,25,Accounting Assistant III,Manufacturing,Mass Customer,N,No,7,5263 Stone Corner Crossing,2217,NSW,Australia,12,0.57,0.57,0.7125,0.605625,#REF!,536,0.825,,,
Terrence,Dalligan,Male,60,1998-02-19,25,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,2,240 Main Hill,3200,VIC,Australia,6,0.66,0.825,0.825,0.825,#REF!,544,0.8245,,,
Anson,Dearnaly,Male,68,1997-06-29,25,Data Coordiator,Health,Affluent Customer,N,Yes,11,6060 Veith Crossing,2103,NSW,Australia,11,0.83,1.0375,1.296875,1.296875,#REF!,602,0.7735,,,
Ewell,Paulusch,Male,31,1998-01-15,25,Engineer I,Manufacturing,Mass Customer,N,Yes,8,8194 Lien Street,4032,QLD,Australia,7,0.83,1.0375,1.0375,0.881875,#REF!,620,0.75,,,
Kearney,Cuddehy,Male,88,1997-05-18,25,Marketing Assistant,Retail,Mass Customer,N,No,12,98 Shoshone Road,4207,QLD,Australia,6,1.02,1.02,1.275,1.08375,#REF!,634,0.7395,,,
Leticia,Hovenden,Female,98,1997-04-03,25,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,1,54782 Lake View Parkway,3178,VIC,Australia,9,0.77,0.9625,1.203125,1.02265625,#REF!,653,0.71875,,,
Lanny,Currall,Male,37,1997-10-23,25,Developer IV,n/a,High Net Worth,N,Yes,9,3 Redwing Center,2209,NSW,Australia,10,0.52,0.65,0.8125,0.8125,#REF!,725,0.669375,,,
Killie,Densie,Male,87,1997-03-28,25,Environmental Tech,IT,Mass Customer,N,Yes,11,62 Dryden Junction,2042,NSW,Australia,10,0.93,1.1625,1.453125,1.23515625,#REF!,731,0.6640625,,,
Meridith,Urwin,Female,62,1997-03-07,25,Registered Nurse,Health,High Net Worth,N,Yes,10,535 Graedel Circle,2444,NSW,Australia,7,0.43,0.5375,0.5375,0.5375,#REF!,845,0.563125,,,
Felice,Dechelette,Male,75,1998-02-05,25,Librarian,Entertainment,High Net Worth,N,No,3,4 Kingsford Trail,4051,QLD,Australia,4,0.76,0.76,0.76,0.76,#REF!,928,0.48,,,
Lolly,Prewer,Female,44,1997-10-23,25,Geologist I,Health,Mass Customer,N,No,15,694 Coolidge Center,2620,NSW,Australia,7,0.55,0.55,0.55,0.4675,#REF!,988,0.3995,,,
Rosmunda,Duxbarry,Female,69,1996-07-20,26,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,0.97,1.2125,1.515625,1.515625,65,65,1.3625,,,
Sherilyn,Canero,Female,11,1996-08-03,26,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,0.7,0.875,0.875,0.875,68,68,1.3546875,,,
Maurizio,Comi,Male,74,1996-05-30,26,VP Product Management,IT,Affluent Customer,N,No,10,25805 Eagan Place,2766,NSW,Australia,9,0.67,0.67,0.8375,0.8375,#REF!,190,1.15546875,,,
Cletis,Longley,Male,84,1996-07-01,26,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,0.99,1.2375,1.546875,1.546875,#REF!,271,1.06,,,
Anet,Roseman,Female,84,1996-11-24,26,Programmer Analyst III,Financial Services,Mass Customer,N,No,9,31 Melody Circle,3814,VIC,Australia,4,0.79,0.79,0.9875,0.839375,#REF!,450,0.9,,,
Raynard,,Male,32,1996-04-13,26,Statistician III,Health,Affluent Customer,N,No,14,20187 Loomis Court,4132,QLD,Australia,6,0.77,0.77,0.77,0.77,#REF!,587,0.78625,,,
Rochette,Haddacks,Female,44,1996-05-10,26,Tax Accountant,Retail,Affluent Customer,N,Yes,13,822 Di Loreto Junction,3020,VIC,Australia,8,0.66,0.825,0.825,0.825,#REF!,591,0.782,,,
Wendye,Kleinplatz,Female,48,1996-05-28,26,Executive Secretary,Manufacturing,Affluent Customer,N,No,14,01 Reindahl Circle,4132,QLD,Australia,3,0.66,0.66,0.66,0.66,#REF!,643,0.731,,,
Lizbeth,Garvan,Female,36,1996-09-06,26,Structural Analysis Engineer,Health,Mass Customer,N,No,4,5 Schurz Street,2141,NSW,Australia,9,0.49,0.49,0.6125,0.520625,#REF!,676,0.70125,,,
Myrtie,Ostrich,Female,70,1996-06-18,26,VP Quality Control,Property,Affluent Customer,N,Yes,9,320 Acker Drive,2251,NSW,Australia,7,0.85,1.0625,1.0625,1.0625,#REF!,676,0.70125,,,
Cal,Van den Velde,Male,22,1996-03-18,26,Senior Sales Associate,Financial Services,Affluent Customer,N,Yes,6,77916 Moland Park,3174,VIC,Australia,6,0.68,0.85,0.85,0.85,#REF!,755,0.64,,,
Ashleigh,,Female,46,1996-04-05,26,Budget/Accounting Analyst III,n/a,Mass Customer,N,Yes,6,922 Utah Avenue,3204,VIC,Australia,12,0.83,1.0375,1.296875,1.10234375,#REF!,780,0.62421875,,,
Judi,Cazereau,Female,22,1997-03-03,26,GIS Technical Architect,n/a,Affluent Customer,N,Yes,13,22 Farmco Avenue,3851,VIC,Australia,3,0.98,1.225,1.225,1.225,#REF!,883,0.53125,,,
Lavena,Seekings,Female,87,1995-03-25,27,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,0.46,0.46,0.575,0.48875,52,54,1.38125,,,
Sumner,Carrivick,Male,53,1995-04-09,27,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,0.55,0.55,0.6875,0.584375,78,78,1.3375,,,
Meriel,Tapp,Female,0,1995-08-13,27,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,1,1,1,0.85,#REF!,114,1.275,,,
Amil,Ennor,Female,23,1995-08-04,27,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,0.85,1.0625,1.328125,1.12890625,#REF!,158,1.1875,,,
Barnebas,Apfel,Male,57,1996-02-19,27,Account Executive,Manufacturing,Affluent Customer,N,Yes,2,05475 Elgar Place,4000,QLD,Australia,6.00,0.86,1.075,1.075,1.075,#REF!,259,1.0625,,,
Almira,Mangion,Female,4,1996-01-24,27,VP Product Management,Financial Services,Affluent Customer,N,Yes,2,179 Anzinger Center,2230,NSW,Australia,12,0.99,1.2375,1.546875,1.546875,#REF!,382,0.95,,,
Palmer,Heaven,Male,82,1995-05-18,27,Staff Scientist,Financial Services,Affluent Customer,N,Yes,9,5 Hoard Parkway,3754,VIC,Australia,6,0.97,1.2125,1.515625,1.515625,#REF!,382,0.95,,,
Corinna,Beretta,Female,24,1996-02-29,27,Programmer III,Health,High Net Worth,N,No,12,72 Mccormick Circle,3023,VIC,Australia,7,0.85,0.85,0.85,0.85,#REF!,408,0.9296875,,,
Tanner,Terlinden,Male,84,1995-12-09,27,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,14,2637 Monument Trail,3106,VIC,Australia,11,0.85,0.85,1.0625,0.903125,#REF!,409,0.925,,,
Blondie,,Female,43,1995-10-03,27,Actuary,Financial Services,High Net Worth,N,No,11,780 Norway Maple Hill,2565,NSW,Australia,8,0.61,0.61,0.61,0.61,#REF!,478,0.88,,,
Claudette,Renackowna,Female,55,1996-02-11,27,Administrative Officer,Manufacturing,Mass Customer,N,No,2,0800 Dahle Alley,2148,NSW,Australia,8,0.5,0.5,0.5,0.425,#REF!,492,0.87125,,,
Jacqui,Devey,Female,79,1995-10-01,27,Analyst Programmer,Financial Services,High Net Worth,N,Yes,13,656 Kennedy Crossing,2261,NSW,Australia,8,0.67,0.8375,0.8375,0.8375,#REF!,555,0.8125,,,
Judie,Pirkis,Female,2,1995-07-18,27,Recruiter,n/a,Affluent Customer,N,Yes,4,6 Loftsgordon Pass,2111,NSW,Australia,11,0.45,0.5625,0.703125,0.703125,#REF!,583,0.7875,,,
Flin,Yoskowitz,Male,9,1995-12-17,27,Registered Nurse,Health,Mass Customer,N,Yes,11,9940 Manley Drive,2574,NSW,Australia,7,0.65,0.8125,0.8125,0.690625,#REF!,583,0.7875,,,
Chaim,Kingdon,Male,63,1996-01-21,27,Compensation Analyst,Financial Services,Affluent Customer,N,Yes,15,42590 Bellgrove Court,2097,NSW,Australia,9,0.92,1.15,1.4375,1.4375,#REF!,599,0.775,,,
Wolf,Craft,Male,93,1995-07-19,27,Database Administrator III,Retail,Affluent Customer,N,Yes,5,7513 Swallow Drive,2148,NSW,Australia,9,0.91,1.1375,1.421875,1.421875,#REF!,646,0.73,,,
Herbert,Henryson,Male,21,1995-10-10,27,Marketing Manager,n/a,Mass Customer,N,No,4,05123 Bobwhite Plaza,2528,NSW,Australia,9,0.65,0.65,0.8125,0.690625,#REF!,820,0.584375,,,
Rosabelle,Godsmark,Female,60,1995-10-19,27,Executive Secretary,n/a,Mass Customer,N,Yes,3,4871 Caliangt Hill,4102,QLD,Australia,8,0.7,0.875,0.875,0.74375,#REF!,845,0.563125,,,
Thorvald,Duckerin,Male,58,1995-10-20,27,Electrical Engineer,Manufacturing,Affluent Customer,N,Yes,1,4 Pine View Junction,3021,VIC,Australia,8,0.61,0.7625,0.7625,0.7625,#REF!,871,0.541875,,,
Nilson,Wiggam,Male,48,1996-02-15,27,Paralegal,Financial Services,Mass Customer,N,No,9,8845 Spaight Way,3049,VIC,Australia,6,0.73,0.73,0.73,0.6205,#REF!,903,0.5015,,,
Benedikta,Naptin,Female,59,1995-08-13,27,Operator,Retail,Mass Customer,N,Yes,15,345 Fieldstone Park,2121,NSW,Australia,11,1.06,1.325,1.65625,1.4078125,#REF!,956,0.44625,,,
Rockwell,Matson,Male,94,1995-01-01,28,Programmer Analyst I,Retail,High Net Worth,N,No,3,3682 Crowley Point,4573,QLD,Australia,6,0.54,0.54,0.675,0.675,10,10,1.640625,,,
Jobina,Gobourn,Female,85,1994-12-04,28,VP Quality Control,n/a,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,0.98,1.225,1.53125,1.53125,44,46,1.4078125,,,
Bessie,Roscow,Female,78,1994-08-04,28,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,1.1,1.1,1.375,1.16875,68,72,1.35,,,
Karlik,Penchen,Male,60,1994-10-31,28,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,0.98,0.98,0.98,0.833,96,96,1.3,,,
Paten,Cayet,Male,56,1995-02-19,28,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,0.58,0.725,0.725,0.725,#REF!,174,1.16875,,,
Hunfredo,Hayball,Male,7,1994-04-15,28,,IT,Affluent Customer,N,No,3,60461 Esch Avenue,2227,NSW,Australia,8,0.46,0.46,0.46,0.46,#REF!,219,1.125,,,
Arty,Fontelles,Male,50,1994-10-21,28,Help Desk Technician,IT,High Net Worth,N,No,4,7872 South Junction,3197,VIC,Australia,4,0.87,0.87,0.87,0.87,#REF!,370,0.97,,,
Ariel,McCloid,Male,4,1994-03-13,28,Human Resources Manager,n/a,High Net Worth,N,Yes,6,99 Quincy Parkway,3630,VIC,Australia,1,0.73,0.9125,0.9125,0.9125,#REF!,486,0.875,,,
Dwain,Hatch,Male,62,1994-11-16,28,Marketing Assistant,Health,Affluent Customer,N,No,15,5 Hovde Lane,3028,VIC,Australia,8,0.56,0.56,0.56,0.56,#REF!,536,0.825,,,
Barth,Sapshed,Male,4,1994-06-16,28,Executive Secretary,Financial Services,Mass Customer,N,Yes,13,65 Milwaukee Lane,4520,QLD,Australia,10,0.83,1.0375,1.296875,1.10234375,#REF!,563,0.8075,,,
Berenice,Kaesmakers,Female,64,1994-10-15,28,Sales Representative,Retail,Mass Customer,N,No,11,563 Waywood Park,2145,NSW,Australia,9,0.48,0.48,0.6,0.51,#REF!,575,0.796875,,,
Jesse,Crosio,Male,75,1994-04-15,28,Data Coordiator,n/a,Mass Customer,N,Yes,13,9313 Mayer Street,3133,VIC,Australia,8,0.84,1.05,1.05,0.8925,#REF!,575,0.796875,,,
Kiley,Grunder,Male,95,1994-04-17,28,Cost Accountant,Financial Services,Affluent Customer,N,Yes,1,17393 Colorado Hill,4006,QLD,Australia,8,0.82,1.025,1.28125,1.28125,#REF!,587,0.78625,,,
Gilbert,O'Fallone,Male,29,1994-11-07,28,Assistant Media Planner,Entertainment,High Net Worth,N,No,1,6 Havey Pass,2126,NSW,Australia,11,0.85,0.85,1.0625,1.0625,#REF!,595,0.775625,,,
Keenan,Moriarty,Male,67,1994-12-23,28,Actuary,Financial Services,Mass Customer,N,Yes,2,077 Hansons Point,4075,QLD,Australia,8,0.46,0.575,0.575,0.48875,#REF!,684,0.7,,,
Winn,Wells,Male,66,1994-04-12,28,Analyst Programmer,Manufacturing,Affluent Customer,N,No,9,544 Pawling Road,2230,NSW,Australia,10,0.77,0.77,0.9625,0.9625,#REF!,785,0.62,,,
Briano,Janowski,Male,66,1994-07-17,28,Analyst Programmer,n/a,Mass Customer,N,No,7,3259 Eagan Parkway,2066,NSW,Australia,8,0.88,0.88,0.88,0.748,#REF!,838,0.57375,,,
Wilburt,Padden,Male,22,1994-09-30,28,Engineer I,Manufacturing,Mass Customer,N,No,3,22 Muir Avenue,2148,NSW,Australia,5,0.49,0.49,0.49,0.4165,#REF!,845,0.563125,,,
Lizette,McKeaveney,Female,30,1994-04-11,28,Assistant Manager,Health,High Net Worth,N,Yes,13,6412 Butternut Road,2050,NSW,Australia,10,0.48,0.6,0.75,0.75,#REF!,879,0.5375,,,
Lesley,Garey,Male,52,1994-03-29,28,Software Consultant,Telecommunications,Mass Customer,N,No,11,924 Lindbergh Court,2226,NSW,Australia,9,0.57,0.57,0.7125,0.605625,#REF!,883,0.53125,,,
